,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
309,37.0,127.08,1,0,0,0,0
313,37.0,127.08,1,0,1,0,0
315,37.0,127.08,0,0,1,0,0
319,37.0,127.08,1,1,0,0,0
320,37.0,127.08,0,1,0,0,0
324,37.0,127.08,0,0,0,1,0
325,37.0,127.08,0,0,0,0,1
326,37.0,127.1,1,0,0,0,0
338,37.0,127.1,0,0,1,0,0
339,37.0,127.1,0,1,0,0,0
351,37.0,127.1,0,0,0,1,0
369,37.58,127.01,1,0,0,0,0
370,37.58,127.01,0,0,0,0,1
380,37.54,127.03,0,1,0,0,0
404,37.59,127.01,0,0,1,0,0
454,37.37,127.11,1,0,0,0,0
455,37.82,127.02,1,0,0,0,0
458,37.59,127.02,0,1,1,0,1
470,37.59,127.02,1,1,0,0,0
471,37.59,127.02,1,0,0,0,1
475,37.37,127.11,1,0,0,0,1
479,37.37,127.11,0,1,0,0,0
483,37.37,127.11,0,0,0,0,1
486,37.37,127.11,1,1,0,0,0
489,37.37,127.11,0,0,1,0,0
493,37.36,127.11,1,1,0,0,0
494,37.36,127.11,1,0,0,0,0
508,37.49,127.06,0,0,1,0,0
509,37.49,127.06,1,0,0,0,0
512,37.49,127.06,1,0,1,0,0
517,37.49,127.05,1,0,0,0,0
519,37.49,127.05,0,0,0,0,1
522,37.48,127.05,0,0,0,1,0
542,37.36,127.11,0,0,0,0,1
545,37.36,127.11,0,0,1,0,0
550,37.36,127.11,1,0,1,0,0
552,37.51,127.07,1,1,0,0,0
554,37.59,127.0,1,0,0,0,0
556,37.59,127.0,0,0,0,0,1
558,37.59,127.0,1,0,1,0,0
561,37.59,127.1,1,0,0,0,0
563,37.59,127.1,0,0,0,0,1
570,37.59,127.1,0,1,0,0,0
571,37.59,127.1,0,1,0,0,1
590,37.58,127.02,0,0,0,0,1
591,37.58,127.02,1,0,0,0,0
593,37.58,127.02,0,1,0,0,0
598,37.58,127.02,0,0,0,1,0
623,37.59,127.0,0,1,0,0,0
638,37.58,127.02,0,0,1,0,0
642,37.58,127.02,1,1,0,0,0
656,37.58,127.02,1,0,0,1,0
657,37.43,126.99,1,0,0,0,0
658,37.44,126.99,0,0,0,0,1
659,37.44,126.99,1,0,0,0,0
660,37.44,127.0,1,0,0,0,0
661,37.44,127.0,0,1,0,0,0
666,37.44,126.99,0,1,0,0,0
668,37.44,127.0,1,1,0,0,0
677,37.44,127.02,1,0,0,0,0
678,37.44,127.02,0,0,0,0,1
679,37.44,127.02,0,1,0,0,0
685,37.41,127.0,1,0,0,0,0
686,37.41,127.0,1,1,0,0,0
687,37.41,127.0,0,1,0,0,0
691,37.41,126.99,1,0,0,0,0
692,37.41,126.99,0,1,0,0,0
695,37.41,126.99,1,0,0,0,1
698,37.41,126.99,1,1,0,0,0
704,37.41,126.99,0,1,0,0,1
705,37.41,126.99,0,0,0,0,1
714,37.46,127.02,1,0,0,0,0
717,37.46,127.02,1,1,0,0,0
718,37.46,127.02,0,1,0,0,0
719,37.46,127.02,0,0,1,0,0
727,37.34,126.73,1,0,0,0,0
738,37.34,126.73,1,0,0,0,1
741,37.34,126.73,0,0,0,0,1
753,37.43,126.99,0,1,0,0,0
754,37.43,126.99,0,0,0,0,1
778,37.44,127.0,0,0,0,0,1
780,37.48092985,126.874906,1,1,0,0,0
784,37.4820115,126.8751388,1,1,0,0,0
788,37.48271481,126.8738117,1,1,0,0,1
791,37.475109,126.8768657,0,1,0,0,0
794,37.47560388,126.876333,0,0,0,0,1
796,37.47560388,126.876333,0,1,0,0,0
797,37.47558694,126.8767328,1,0,0,0,0
798,37.47558694,126.8767328,1,0,0,0,1
803,37.53272525,126.9310058,0,0,0,0,1
804,37.53272525,126.9310058,1,0,0,0,1
805,37.52663003,126.9328152,0,1,0,0,0
809,37.52663003,126.9328152,0,0,0,0,1
811,37.52663003,126.9328152,1,1,0,0,0
812,37.4807051,126.8458342,1,1,0,0,0
813,37.4807051,126.8458342,1,0,0,0,0
814,37.48093294,126.8452677,0,0,1,0,0
816,37.48058244,126.8337782,1,1,0,0,0
817,37.48058244,126.8337782,1,0,0,0,0
819,37.48125167,126.8322539,0,1,0,0,0
820,37.48125167,126.8322539,1,0,0,0,0
822,37.48175292,126.836508,1,0,0,0,0
823,37.48175292,126.836508,1,1,0,0,0
824,37.48175292,126.836508,0,1,0,0,0
827,37.47949009,126.8231936,1,1,0,0,0
828,37.44049833,126.8517245,1,0,0,0,0
830,37.44049833,126.8517245,0,1,0,0,0
831,37.44049833,126.8517245,1,1,0,0,1
834,37.44049833,126.8517245,1,1,0,0,0
835,37.48158901,126.8482439,0,1,0,0,0
836,37.48158901,126.8482439,1,0,0,0,0
840,37.48158901,126.8482439,1,1,0,0,0
852,37.4807051,126.8458342,0,1,0,0,0
863,37.48158901,126.8482439,0,0,1,0,0
866,37.42765082,126.8100992,1,1,0,0,0
869,37.42765082,126.8100992,0,1,0,0,0
870,37.42765082,126.8100992,1,1,1,0,1
872,37.42765082,126.8100992,0,1,1,0,0
875,37.42765082,126.8100992,0,0,0,0,1
910,37.59,127.02,1,0,1,0,0
980,37.57,127.08,1,0,0,0,0
981,37.57,127.08,0,0,1,0,0
983,37.57,127.08,0,1,0,0,0
984,37.65,127.01,0,0,1,0,0
987,37.65,127.01,0,0,0,0,1
990,37.65,127.01,1,0,0,0,0
1035,37.65,127.01,0,1,0,0,0
1084,37.5897,127.0174,1,1,0,0,0
1085,37.5897,127.0174,1,0,0,0,0
1086,37.5897,127.0174,0,0,1,0,0
1090,37.5897,127.0174,2,0,0,0,0
1095,37.5897,127.0174,0,0,0,1,0
1098,37.5897,127.0174,0,1,0,0,0
1106,37.5897,127.0174,1,0,0,0,1
1107,37.5897,127.0174,2,0,0,0,1
1109,37.5897,127.0174,0,0,0,0,1
1140,37.5283,126.9322,1,0,0,0,0
1142,37.5283,126.9322,1,1,0,0,0
1150,37.5283,126.9322,0,1,0,0,0
1156,37.5283,126.9322,0,0,1,0,0
1159,37.5283,126.9322,0,0,0,0,1
